model,accuracy,precision,recall,f1,roc_auc
Gradient Boosting,0.8459900638750887,0.7357357357357357,0.6550802139037433,0.693069306930693,0.9114611589036141
Logistic Regression,0.7835344215755855,0.5628415300546448,0.8262032085561497,0.6695557963163596,0.8917641892066445
Random Forest,0.772888573456352,0.55,0.7941176470588235,0.649890590809628,0.8700973933710506
